algorithm_name,run_id,TOTAL_TAGS,Drift_Rate,total_time_us,total_reader_energy_j,total_tag_energy_j,total_slots,success_slots,collision_slots,idle_slots,phy_efficiency,Recall,Goodput,Drift_Percent,total_time_ms,total_time_s,total_energy_j,verification_concurrency,energy_per_tag_uj,time_efficiency_index,throughput,edp,collision_rate
LODS-MTI (Adaptive),14,1000,0.0005,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,3411.572052401747,0.05,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
LODS-MTI (Adaptive),15,1000,0.0005,137237.5,0.13723749999999998,0.0,15,0,15,0,0.0,1.0,3643.319063667,0.05,137.2375,0.1372375,0.13723749999999998,66.66666666666667,137.23749999999998,2.9146552509336003,7286.638127334,0.01883413140625,1.0
LODS-MTI (Adaptive),16,1000,0.0005,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,3411.572052401747,0.05,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
LODS-MTI (Adaptive),17,1000,0.0005,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,3411.572052401747,0.05,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
LODS-Fixed-128 (Stress),15,1000,0.0005,193545.0,0.19354500000000005,0.0,32,0,32,0,0.0,1.0,2583.3785424578264,0.05,193.545,0.193545,0.19354500000000005,31.25,193.54500000000004,2.066702833966261,5166.757084915653,0.03745966702500001,1.0
LODS-Fixed-128 (Stress),14,1000,0.0005,193545.0,0.19354500000000005,0.0,32,0,32,0,0.0,1.0,2583.3785424578264,0.05,193.545,0.193545,0.19354500000000005,31.25,193.54500000000004,2.066702833966261,5166.757084915653,0.03745966702500001,1.0
LODS-Fixed-128 (Stress),16,1000,0.0005,193545.0,0.19354500000000005,0.0,32,0,32,0,0.0,1.0,2583.3785424578264,0.05,193.545,0.193545,0.19354500000000005,31.25,193.54500000000004,2.066702833966261,5166.757084915653,0.03745966702500001,1.0
LODS-MTI (Adaptive),18,1000,0.0005,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,3411.572052401747,0.05,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
LODS-MTI (Adaptive),19,1000,0.0005,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,3411.572052401747,0.05,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
LODS-Fixed-128 (Stress),17,1000,0.0005,193545.0,0.19354500000000005,0.0,32,0,32,0,0.0,1.0,2583.3785424578264,0.05,193.545,0.193545,0.19354500000000005,31.25,193.54500000000004,2.066702833966261,5166.757084915653,0.03745966702500001,1.0
LODS-MTI (Adaptive),20,1000,0.0005,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,3411.572052401747,0.05,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
LODS-Fixed-128 (Stress),19,1000,0.0005,193545.0,0.19354500000000005,0.0,32,0,32,0,0.0,1.0,2583.3785424578264,0.05,193.545,0.193545,0.19354500000000005,31.25,193.54500000000004,2.066702833966261,5166.757084915653,0.03745966702500001,1.0
LODS-Fixed-128 (Stress),18,1000,0.0005,193545.0,0.19354500000000005,0.0,32,0,32,0,0.0,1.0,2583.3785424578264,0.05,193.545,0.193545,0.19354500000000005,31.25,193.54500000000004,2.066702833966261,5166.757084915653,0.03745966702500001,1.0
LODS-MTI (Adaptive),21,1000,0.0005,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,3411.572052401747,0.05,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
LODS-Fixed-128 (Stress),20,1000,0.0005,193545.0,0.19354500000000005,0.0,32,0,32,0,0.0,1.0,2583.3785424578264,0.05,193.545,0.193545,0.19354500000000005,31.25,193.54500000000004,2.066702833966261,5166.757084915653,0.03745966702500001,1.0
LODS-MTI (Adaptive),22,1000,0.0005,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,3411.572052401747,0.05,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
LODS-Fixed-128 (Stress),21,1000,0.0005,193545.0,0.19354500000000005,0.0,32,0,32,0,0.0,1.0,2583.3785424578264,0.05,193.545,0.193545,0.19354500000000005,31.25,193.54500000000004,2.066702833966261,5166.757084915653,0.03745966702500001,1.0
LODS-MTI (Adaptive),23,1000,0.0005,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,3411.572052401747,0.05,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
LODS-Fixed-128 (Stress),22,1000,0.0005,193545.0,0.19354500000000005,0.0,32,0,32,0,0.0,1.0,2583.3785424578264,0.05,193.545,0.193545,0.19354500000000005,31.25,193.54500000000004,2.066702833966261,5166.757084915653,0.03745966702500001,1.0
LODS-Fixed-128 (Stress),23,1000,0.0005,193545.0,0.19354500000000005,0.0,32,0,32,0,0.0,1.0,2583.3785424578264,0.05,193.545,0.193545,0.19354500000000005,31.25,193.54500000000004,2.066702833966261,5166.757084915653,0.03745966702500001,1.0
LODS-MTI (Adaptive),25,1000,0.0005,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,3411.572052401747,0.05,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
LODS-MTI (Adaptive),24,1000,0.0005,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,3411.572052401747,0.05,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
LODS-MTI (Adaptive),26,1000,0.0005,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,3411.572052401747,0.05,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
LODS-Fixed-128 (Stress),24,1000,0.0005,193545.0,0.19354500000000005,0.0,32,1,31,0,0.03125,1.0,2583.3785424578264,0.05,193.545,0.193545,0.19354500000000005,31.25,193.54500000000004,2.066702833966261,5166.757084915653,0.03745966702500001,0.96875
LODS-Fixed-128 (Stress),25,1000,0.0005,193545.0,0.19354500000000005,0.0,32,0,32,0,0.0,1.0,2583.3785424578264,0.05,193.545,0.193545,0.19354500000000005,31.25,193.54500000000004,2.066702833966261,5166.757084915653,0.03745966702500001,1.0
LODS-MTI (Adaptive),28,1000,0.0005,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,3411.572052401747,0.05,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
LODS-MTI (Adaptive),27,1000,0.0005,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,3411.572052401747,0.05,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
LODS-Fixed-128 (Stress),27,1000,0.0005,193545.0,0.19354500000000005,0.0,32,0,32,0,0.0,1.0,2583.3785424578264,0.05,193.545,0.193545,0.19354500000000005,31.25,193.54500000000004,2.066702833966261,5166.757084915653,0.03745966702500001,1.0
LODS-Fixed-128 (Stress),26,1000,0.0005,193545.0,0.19354500000000005,0.0,32,0,32,0,0.0,1.0,2583.3785424578264,0.05,193.545,0.193545,0.19354500000000005,31.25,193.54500000000004,2.066702833966261,5166.757084915653,0.03745966702500001,1.0
LODS-MTI (Adaptive),29,1000,0.0005,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,3411.572052401747,0.05,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
LODS-Fixed-128 (Stress),28,1000,0.0005,193545.0,0.19354500000000005,0.0,32,1,31,0,0.03125,1.0,2583.3785424578264,0.05,193.545,0.193545,0.19354500000000005,31.25,193.54500000000004,2.066702833966261,5166.757084915653,0.03745966702500001,0.96875
LODS-MTI (Adaptive),30,1000,0.0005,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,3411.572052401747,0.05,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
LODS-Fixed-128 (Stress),29,1000,0.0005,193545.0,0.19354500000000005,0.0,32,0,32,0,0.0,1.0,2583.3785424578264,0.05,193.545,0.193545,0.19354500000000005,31.25,193.54500000000004,2.066702833966261,5166.757084915653,0.03745966702500001,1.0
LODS-MTI (Adaptive),31,1000,0.0005,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,3411.572052401747,0.05,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
LODS-MTI (Adaptive),32,1000,0.0005,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,3411.572052401747,0.05,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
LODS-Fixed-128 (Stress),30,1000,0.0005,193545.0,0.19354500000000005,0.0,32,0,32,0,0.0,1.0,2583.3785424578264,0.05,193.545,0.193545,0.19354500000000005,31.25,193.54500000000004,2.066702833966261,5166.757084915653,0.03745966702500001,1.0
LODS-MTI (Adaptive),33,1000,0.0005,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,3411.572052401747,0.05,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
LODS-Fixed-128 (Stress),31,1000,0.0005,193545.0,0.19354500000000005,0.0,32,0,32,0,0.0,1.0,2583.3785424578264,0.05,193.545,0.193545,0.19354500000000005,31.25,193.54500000000004,2.066702833966261,5166.757084915653,0.03745966702500001,1.0
LODS-MTI (Adaptive),34,1000,0.0005,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,3411.572052401747,0.05,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
LODS-Fixed-128 (Stress),32,1000,0.0005,193545.0,0.19354500000000005,0.0,32,0,32,0,0.0,1.0,2583.3785424578264,0.05,193.545,0.193545,0.19354500000000005,31.25,193.54500000000004,2.066702833966261,5166.757084915653,0.03745966702500001,1.0
LODS-MTI (Adaptive),35,1000,0.0005,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,3411.572052401747,0.05,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
LODS-Fixed-128 (Stress),33,1000,0.0005,193545.0,0.19354500000000005,0.0,32,0,32,0,0.0,1.0,2583.3785424578264,0.05,193.545,0.193545,0.19354500000000005,31.25,193.54500000000004,2.066702833966261,5166.757084915653,0.03745966702500001,1.0
LODS-MTI (Adaptive),36,1000,0.0005,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,3411.572052401747,0.05,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
LODS-Fixed-128 (Stress),34,1000,0.0005,193545.0,0.19354500000000005,0.0,32,0,32,0,0.0,1.0,2583.3785424578264,0.05,193.545,0.193545,0.19354500000000005,31.25,193.54500000000004,2.066702833966261,5166.757084915653,0.03745966702500001,1.0
LODS-MTI (Adaptive),37,1000,0.0005,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,3411.572052401747,0.05,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
LODS-Fixed-128 (Stress),35,1000,0.0005,193545.0,0.19354500000000005,0.0,32,0,32,0,0.0,1.0,2583.3785424578264,0.05,193.545,0.193545,0.19354500000000005,31.25,193.54500000000004,2.066702833966261,5166.757084915653,0.03745966702500001,1.0
LODS-MTI (Adaptive),38,1000,0.0005,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,3411.572052401747,0.05,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
LODS-Fixed-128 (Stress),36,1000,0.0005,193545.0,0.19354500000000005,0.0,32,0,32,0,0.0,1.0,2583.3785424578264,0.05,193.545,0.193545,0.19354500000000005,31.25,193.54500000000004,2.066702833966261,5166.757084915653,0.03745966702500001,1.0
LODS-Fixed-128 (Stress),37,1000,0.0005,193545.0,0.19354500000000005,0.0,32,0,32,0,0.0,1.0,2583.3785424578264,0.05,193.545,0.193545,0.19354500000000005,31.25,193.54500000000004,2.066702833966261,5166.757084915653,0.03745966702500001,1.0
LODS-Fixed-128 (Stress),38,1000,0.0005,193545.0,0.19354500000000005,0.0,32,0,32,0,0.0,1.0,2583.3785424578264,0.05,193.545,0.193545,0.19354500000000005,31.25,193.54500000000004,2.066702833966261,5166.757084915653,0.03745966702500001,1.0
LODS-MTI (Adaptive),39,1000,0.0005,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,3411.572052401747,0.05,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
LODS-MTI (Adaptive),0,1000,0.001,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,3411.572052401747,0.1,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
LODS-Fixed-128 (Stress),39,1000,0.0005,193545.0,0.19354500000000005,0.0,32,1,31,0,0.03125,1.0,2583.3785424578264,0.05,193.545,0.193545,0.19354500000000005,31.25,193.54500000000004,2.066702833966261,5166.757084915653,0.03745966702500001,0.96875
LODS-MTI (Adaptive),1,1000,0.001,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,3411.572052401747,0.1,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
LODS-Fixed-128 (Stress),0,1000,0.001,193545.0,0.19354500000000005,0.0,32,0,32,0,0.0,1.0,2583.3785424578264,0.1,193.545,0.193545,0.19354500000000005,31.25,193.54500000000004,2.066702833966261,5166.757084915653,0.03745966702500001,1.0
LODS-MTI (Adaptive),2,1000,0.001,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,3411.572052401747,0.1,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
LODS-Fixed-128 (Stress),1,1000,0.001,193545.0,0.19354500000000005,0.0,32,0,32,0,0.0,1.0,2583.3785424578264,0.1,193.545,0.193545,0.19354500000000005,31.25,193.54500000000004,2.066702833966261,5166.757084915653,0.03745966702500001,1.0
LODS-MTI (Adaptive),3,1000,0.001,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,3411.572052401747,0.1,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
LODS-Fixed-128 (Stress),2,1000,0.001,193545.0,0.19354500000000005,0.0,32,0,32,0,0.0,1.0,2583.3785424578264,0.1,193.545,0.193545,0.19354500000000005,31.25,193.54500000000004,2.066702833966261,5166.757084915653,0.03745966702500001,1.0
LODS-Fixed-128 (Stress),3,1000,0.001,193545.0,0.19354500000000005,0.0,32,0,32,0,0.0,1.0,2583.3785424578264,0.1,193.545,0.193545,0.19354500000000005,31.25,193.54500000000004,2.066702833966261,5166.757084915653,0.03745966702500001,1.0
LODS-MTI (Adaptive),4,1000,0.001,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,3411.572052401747,0.1,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
LODS-MTI (Adaptive),5,1000,0.001,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,3411.572052401747,0.1,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
LODS-MTI (Adaptive),6,1000,0.001,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,3411.572052401747,0.1,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
LODS-MTI (Adaptive),7,1000,0.001,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,3411.572052401747,0.1,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
LODS-Fixed-128 (Stress),4,1000,0.001,193545.0,0.19354500000000005,0.0,32,0,32,0,0.0,1.0,2583.3785424578264,0.1,193.545,0.193545,0.19354500000000005,31.25,193.54500000000004,2.066702833966261,5166.757084915653,0.03745966702500001,1.0
LODS-Fixed-128 (Stress),5,1000,0.001,193545.0,0.19354500000000005,0.0,32,0,32,0,0.0,1.0,2583.3785424578264,0.1,193.545,0.193545,0.19354500000000005,31.25,193.54500000000004,2.066702833966261,5166.757084915653,0.03745966702500001,1.0
LODS-Fixed-128 (Stress),6,1000,0.001,193545.0,0.19354500000000005,0.0,32,0,32,0,0.0,1.0,2583.3785424578264,0.1,193.545,0.193545,0.19354500000000005,31.25,193.54500000000004,2.066702833966261,5166.757084915653,0.03745966702500001,1.0
LODS-Fixed-128 (Stress),7,1000,0.001,193545.0,0.19354500000000005,0.0,32,0,32,0,0.0,1.0,2583.3785424578264,0.1,193.545,0.193545,0.19354500000000005,31.25,193.54500000000004,2.066702833966261,5166.757084915653,0.03745966702500001,1.0
LODS-MTI (Adaptive),8,1000,0.001,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,3411.572052401747,0.1,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
LODS-MTI (Adaptive),9,1000,0.001,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,3411.572052401747,0.1,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
LODS-Fixed-128 (Stress),8,1000,0.001,193545.0,0.19354500000000005,0.0,32,0,32,0,0.0,1.0,2583.3785424578264,0.1,193.545,0.193545,0.19354500000000005,31.25,193.54500000000004,2.066702833966261,5166.757084915653,0.03745966702500001,1.0
LODS-MTI (Adaptive),10,1000,0.001,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,3411.572052401747,0.1,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
LODS-MTI (Adaptive),11,1000,0.001,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,3411.572052401747,0.1,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
LODS-Fixed-128 (Stress),9,1000,0.001,193545.0,0.19354500000000005,0.0,32,0,32,0,0.0,1.0,2583.3785424578264,0.1,193.545,0.193545,0.19354500000000005,31.25,193.54500000000004,2.066702833966261,5166.757084915653,0.03745966702500001,1.0
LODS-MTI (Adaptive),12,1000,0.001,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,3411.572052401747,0.1,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
LODS-Fixed-128 (Stress),10,1000,0.001,193545.0,0.19354500000000005,0.0,32,0,32,0,0.0,1.0,2583.3785424578264,0.1,193.545,0.193545,0.19354500000000005,31.25,193.54500000000004,2.066702833966261,5166.757084915653,0.03745966702500001,1.0
LODS-Fixed-128 (Stress),11,1000,0.001,193545.0,0.19354500000000005,0.0,32,0,32,0,0.0,1.0,2583.3785424578264,0.1,193.545,0.193545,0.19354500000000005,31.25,193.54500000000004,2.066702833966261,5166.757084915653,0.03745966702500001,1.0
LODS-MTI (Adaptive),13,1000,0.001,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,3411.572052401747,0.1,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
LODS-Fixed-128 (Stress),12,1000,0.001,193545.0,0.19354500000000005,0.0,32,0,32,0,0.0,1.0,2583.3785424578264,0.1,193.545,0.193545,0.19354500000000005,31.25,193.54500000000004,2.066702833966261,5166.757084915653,0.03745966702500001,1.0
LODS-Fixed-128 (Stress),13,1000,0.001,193545.0,0.19354500000000005,0.0,32,0,32,0,0.0,1.0,2583.3785424578264,0.1,193.545,0.193545,0.19354500000000005,31.25,193.54500000000004,2.066702833966261,5166.757084915653,0.03745966702500001,1.0
LODS-MTI (Adaptive),14,1000,0.001,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,3411.572052401747,0.1,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
LODS-MTI (Adaptive),15,1000,0.001,137237.5,0.13723749999999998,0.0,15,0,15,0,0.0,1.0,3643.319063667,0.1,137.2375,0.1372375,0.13723749999999998,66.66666666666667,137.23749999999998,2.9146552509336003,7286.638127334,0.01883413140625,1.0
LODS-Fixed-128 (Stress),14,1000,0.001,193545.0,0.19354500000000005,0.0,32,0,32,0,0.0,1.0,2583.3785424578264,0.1,193.545,0.193545,0.19354500000000005,31.25,193.54500000000004,2.066702833966261,5166.757084915653,0.03745966702500001,1.0
LODS-Fixed-128 (Stress),15,1000,0.001,193545.0,0.19354500000000005,0.0,32,0,32,0,0.0,1.0,2583.3785424578264,0.1,193.545,0.193545,0.19354500000000005,31.25,193.54500000000004,2.066702833966261,5166.757084915653,0.03745966702500001,1.0
LODS-MTI (Adaptive),17,1000,0.001,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,3411.572052401747,0.1,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
LODS-MTI (Adaptive),16,1000,0.001,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,3411.572052401747,0.1,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
LODS-Fixed-128 (Stress),16,1000,0.001,193545.0,0.19354500000000005,0.0,32,0,32,0,0.0,1.0,2583.3785424578264,0.1,193.545,0.193545,0.19354500000000005,31.25,193.54500000000004,2.066702833966261,5166.757084915653,0.03745966702500001,1.0
LODS-MTI (Adaptive),18,1000,0.001,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,3411.572052401747,0.1,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
LODS-Fixed-128 (Stress),17,1000,0.001,193545.0,0.19354500000000005,0.0,32,0,32,0,0.0,1.0,2583.3785424578264,0.1,193.545,0.193545,0.19354500000000005,31.25,193.54500000000004,2.066702833966261,5166.757084915653,0.03745966702500001,1.0
LODS-MTI (Adaptive),19,1000,0.001,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,3411.572052401747,0.1,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
LODS-Fixed-128 (Stress),18,1000,0.001,193545.0,0.19354500000000005,0.0,32,0,32,0,0.0,1.0,2583.3785424578264,0.1,193.545,0.193545,0.19354500000000005,31.25,193.54500000000004,2.066702833966261,5166.757084915653,0.03745966702500001,1.0
LODS-Fixed-128 (Stress),19,1000,0.001,193545.0,0.19354500000000005,0.0,32,0,32,0,0.0,1.0,2583.3785424578264,0.1,193.545,0.193545,0.19354500000000005,31.25,193.54500000000004,2.066702833966261,5166.757084915653,0.03745966702500001,1.0
LODS-MTI (Adaptive),20,1000,0.001,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,3411.572052401747,0.1,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
LODS-MTI (Adaptive),21,1000,0.001,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,3411.572052401747,0.1,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
LODS-Fixed-128 (Stress),20,1000,0.001,193545.0,0.19354500000000005,0.0,32,0,32,0,0.0,1.0,2583.3785424578264,0.1,193.545,0.193545,0.19354500000000005,31.25,193.54500000000004,2.066702833966261,5166.757084915653,0.03745966702500001,1.0
LODS-Fixed-128 (Stress),21,1000,0.001,193545.0,0.19354500000000005,0.0,32,0,32,0,0.0,1.0,2583.3785424578264,0.1,193.545,0.193545,0.19354500000000005,31.25,193.54500000000004,2.066702833966261,5166.757084915653,0.03745966702500001,1.0
LODS-MTI (Adaptive),22,1000,0.001,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,3411.572052401747,0.1,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
LODS-MTI (Adaptive),23,1000,0.001,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,3411.572052401747,0.1,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
LODS-Fixed-128 (Stress),22,1000,0.001,193545.0,0.19354500000000005,0.0,32,0,32,0,0.0,1.0,2583.3785424578264,0.1,193.545,0.193545,0.19354500000000005,31.25,193.54500000000004,2.066702833966261,5166.757084915653,0.03745966702500001,1.0
LODS-Fixed-128 (Stress),23,1000,0.001,193545.0,0.19354500000000005,0.0,32,0,32,0,0.0,1.0,2583.3785424578264,0.1,193.545,0.193545,0.19354500000000005,31.25,193.54500000000004,2.066702833966261,5166.757084915653,0.03745966702500001,1.0
LODS-MTI (Adaptive),24,1000,0.001,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,3411.572052401747,0.1,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
LODS-MTI (Adaptive),25,1000,0.001,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,3411.572052401747,0.1,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
